,city,lat,max_temp,cloudiness,humidity,lng,country,date,wind_speed
385,nhulunbuy,-12.18,22.0,0,94,136.78,AU,1562611508,2.6
386,komsomolskiy,67.55,8.78,76,68,63.78,RU,1562611509,4.97
387,tigre,-34.42,17.78,0,58,-58.58,AR,1562611509,4.1
388,zhigansk,66.77,15.78,9,87,123.37,RU,1562611326,3.62
389,rio verde de mato grosso,-18.92,24.88,0,29,-54.84,BR,1562611509,0.48
390,kaeo,-35.1,6.67,94,94,173.78,NZ,1562611510,0.45
391,heide,54.19,15.0,75,71,9.09,DE,1562611510,5.1
392,walvis bay,-22.95,22.0,0,73,14.51,NA,1562611347,2.1
393,camacupa,-12.02,14.18,0,22,17.48,AO,1562611510,1.77
394,puerto narino,-3.77,26.0,75,74,-70.38,CO,1562611510,2.1
395,namatanai,-3.66,25.98,100,83,152.44,PG,1562611511,7.29
396,alofi,-19.06,19.0,40,93,-169.92,NU,1562611334,0.5
397,port-gentil,-0.72,24.0,90,88,8.78,GA,1562611511,3.1
398,flin flon,54.77,22.0,75,60,-101.88,CA,1562611256,3.1
399,bima,-8.45,18.18,50,97,118.73,ID,1562611511,1.21
400,balkhash,46.84,26.78,36,43,74.98,KZ,1562611512,9.37
401,kisiwani,-4.13,21.98,15,64,37.95,TZ,1562611512,5.76
402,shahr-e kord,32.33,23.0,0,17,50.85,IR,1562611512,4.1
403,santa fe,-31.62,17.22,28,44,-60.7,AR,1562611347,2.24
404,muros,42.77,23.33,75,88,-9.06,ES,1562611513,4.6
405,pasni,25.26,26.98,16,90,63.48,PK,1562611513,2.03
406,sangar,63.92,14.98,100,93,127.47,RU,1562611513,4.97
407,liverpool,53.41,19.0,75,63,-2.98,GB,1562611506,3.6
408,bubaque,11.28,25.58,99,90,-15.83,GW,1562611282,8.0
409,mandal,48.82,13.88,0,63,106.5,MN,1562611514,1.24
410,samarai,-10.62,21.68,66,89,150.67,PG,1562611514,2.24
411,dengzhou,32.69,20.38,100,88,112.08,CN,1562611515,3.41
412,sao jose da coroa grande,-8.9,24.08,24,84,-35.15,BR,1562611515,3.22
413,caravelas,-17.73,21.58,33,73,-39.27,BR,1562611349,5.78
414,jalu,29.03,33.48,0,19,21.55,LY,1562611144,3.64
415,amahai,-3.31,26.67,73,94,129.0,ID,1562611516,5.3
416,west memphis,35.15,35.56,20,66,-90.18,US,1562611224,1.5
417,kambove,-10.88,14.58,66,35,26.6,CD,1562611516,1.35
418,tibati,6.47,20.38,99,93,12.63,CM,1562611516,0.15
419,si sa ket,15.12,26.0,75,88,104.33,TH,1562611517,0.5
420,salinopolis,-0.61,27.48,28,78,-47.36,BR,1562611517,7.05
421,thinadhoo,0.53,29.28,43,76,72.93,MV,1562611517,5.67
422,birin,26.89,26.0,75,100,88.07,NP,1562611518,2.6
423,octeville,49.63,21.0,0,46,-1.64,FR,1562611518,5.7
424,medvedevo,54.96,12.0,40,93,60.77,RU,1562611518,3.0
425,morondava,-20.3,23.98,40,72,44.28,MG,1562611518,9.29
426,tarrafal,15.28,28.0,75,54,-23.77,CV,1562611519,7.7
427,brainerd,46.36,29.0,1,48,-94.2,US,1562611519,6.2
428,baykit,61.68,10.78,33,90,96.39,RU,1562611519,2.38
429,kyren,51.68,9.58,59,78,102.13,RU,1562611520,1.43
430,abnub,27.27,30.58,0,15,31.15,EG,1562611520,3.59
431,vostok,46.45,17.28,1,92,135.83,RU,1562611520,1.59
432,mandera,3.94,29.48,58,47,41.86,ET,1562611521,7.11
433,luganville,-15.51,25.0,75,78,167.18,VU,1562611521,3.6
434,port macquarie,-31.43,10.56,1,100,152.91,AU,1562611460,2.1
435,anchorage,61.22,24.44,5,53,-149.89,US,1562611340,1.5
436,canavieiras,-15.68,26.0,75,65,-38.95,BR,1562611521,6.2
437,tacna,-18.01,17.0,0,63,-70.25,PE,1562611312,2.1
438,smolensk,54.79,12.48,45,93,32.05,RU,1562611522,2.27
439,hobyo,5.35,26.08,17,74,48.53,SO,1562611360,11.6
440,campbell river,50.02,17.0,90,82,-125.24,CA,1562611523,1.5
441,san policarpo,12.18,25.28,97,90,125.51,PH,1562611523,2.68
442,charters towers,-20.07,16.28,69,88,146.27,AU,1562611523,3.54
443,traverse city,44.76,26.11,90,44,-85.62,US,1562611342,3.1
444,yaan,7.38,22.78,100,94,8.57,NG,1562611524,2.86
445,kommunar,59.62,15.0,75,72,30.39,RU,1562611524,4.0
446,port augusta,-32.49,4.0,0,93,137.76,AU,1562611524,2.6
447,deori khas,23.39,24.18,100,91,79.03,IN,1562611524,5.41
448,palauig,15.44,28.68,76,79,119.9,PH,1562611525,6.32
449,gewane,10.16,33.18,0,32,40.66,ET,1562611525,4.09
450,ostrovnoy,68.05,4.28,97,91,39.51,RU,1562611328,5.9
451,ternate,14.29,29.44,75,83,120.72,PH,1562611525,2.1
452,teya,21.05,34.44,75,55,-89.07,MX,1562611526,2.1
453,teeli,51.01,13.48,37,73,90.2,RU,1562611526,1.15
454,orodara,10.98,28.0,40,74,-4.92,BF,1562611526,4.1
455,cootamundra,-34.64,3.89,0,97,148.03,AU,1562611526,1.63
456,collie,-33.36,11.11,7,73,116.15,AU,1562611527,0.6
457,viytivka,48.43,15.48,36,76,29.54,UA,1562611527,4.64
458,comodoro rivadavia,-45.87,12.0,0,76,-67.48,AR,1562611359,3.1
459,iskateley,67.68,3.78,4,86,53.15,RU,1562611527,6.25
460,shuangcheng,45.37,22.0,15,94,126.3,CN,1562611528,1.0
461,inuvik,68.36,16.0,40,48,-133.71,CA,1562611528,2.1
462,tommot,58.97,16.38,17,85,126.27,RU,1562611528,1.26
463,okhotsk,59.36,6.18,19,91,143.24,RU,1562611529,0.97
464,thessalon,46.26,25.0,1,38,-83.55,CA,1562611529,2.1
465,rayachoti,14.06,27.98,100,53,78.75,IN,1562611529,7.27
466,miramar,10.09,25.0,75,88,-84.73,CR,1562611529,7.2
467,tuy hoa,13.08,25.88,43,72,109.3,VN,1562611308,2.8
468,thiruvananthapuram,8.48,28.0,40,83,76.92,IN,1562611235,1.0
469,prince rupert,54.32,14.0,90,93,-130.32,CA,1562611530,1.5
470,auki,12.18,27.88,70,65,6.51,NG,1562611530,4.17
471,kieta,-6.22,26.08,88,83,155.63,PG,1562611531,4.51
472,nipawin,53.36,21.0,90,77,-104.02,CA,1562611531,3.6
473,gardendale,32.03,35.0,1,43,-102.33,US,1562611531,1.5
474,lodja,-3.52,26.28,85,48,23.6,CD,1562611532,0.5
475,beatrice,40.27,32.22,40,58,-96.75,US,1562611532,5.1
476,bereda,43.27,20.56,20,82,-7.54,ES,1562611373,4.6
477,didwana,27.4,35.68,78,41,74.58,IN,1562611532,5.37
478,sena madureira,-9.07,30.88,28,38,-68.66,BR,1562611532,1.1
479,santa fe do sul,-20.21,22.98,0,38,-50.93,BR,1562611533,2.48
480,santo antonio do ica,-3.1,30.68,51,48,-67.94,BR,1562611533,1.77
481,kirakira,-10.46,25.38,82,86,161.92,SB,1562611533,5.02
482,yinchuan,38.48,17.78,99,55,106.21,CN,1562611533,0.35
483,rio gallegos,-51.62,6.0,75,93,-69.22,AR,1562611366,3.1
484,vanimo,-2.67,27.28,61,79,141.3,PG,1562611534,2.64
485,antigonish,45.62,25.56,1,38,-61.99,CA,1562611428,6.2
486,prattville,32.46,34.44,90,59,-86.46,US,1562611364,2.1
487,kisangani,0.52,23.38,8,83,25.21,CD,1562611534,1.04
488,sabha,27.03,34.68,0,10,14.43,LY,1562611535,4.57
489,nakamura,35.17,25.56,75,83,136.87,JP,1562611535,6.7
490,omboue,-1.57,22.38,62,88,9.26,GA,1562611535,5.19
491,marquette,46.54,26.11,5,41,-87.4,US,1562611536,1.5
492,kapit,2.02,22.08,87,97,112.94,MY,1562611536,0.33
493,tateyama,36.66,22.78,96,87,137.31,JP,1562611376,0.38
494,waipawa,-39.94,1.67,23,94,176.59,NZ,1562611536,0.97
495,katubao,5.89,25.38,28,74,124.83,PH,1562611537,1.87
496,madang,35.32,2.98,93,98,102.79,CN,1562611537,1.08
497,chipinge,-20.19,14.48,0,67,32.62,ZW,1562611537,0.88
498,byron bay,-28.65,12.78,22,100,153.62,AU,1562611434,1.5
499,wonthaggi,-38.6,9.44,2,90,145.59,AU,1562611537,4.16
500,evensk,61.92,12.88,82,66,159.24,RU,1562611538,3.39
501,ossora,59.24,8.68,100,94,163.07,RU,1562611538,1.69
502,show low,34.25,29.44,1,13,-110.03,US,1562611538,7.2
503,manzhouli,49.6,15.08,17,86,117.43,CN,1562611538,3.55
504,crib point,-38.35,9.44,0,90,145.2,AU,1562611539,6.97
505,raudeberg,61.99,16.0,20,63,5.14,NO,1562611539,6.2
506,manokwari,-0.87,22.48,52,80,134.08,ID,1562611539,2.53
507,at-bashi,41.17,11.58,40,59,75.81,KG,1562611540,1.44
508,ambilobe,-13.19,23.38,7,82,49.05,MG,1562611540,1.96
509,tual,-5.67,25.68,26,84,132.75,ID,1562611540,8.85
510,utmanzai,34.19,32.88,0,29,71.76,PK,1562611540,0.65
511,bushehr,28.97,34.0,0,49,50.84,IR,1562611541,7.2
512,gwadar,25.12,29.18,0,82,62.33,PK,1562611541,3.71
513,ocos,14.51,33.0,40,62,-92.19,GT,1562611541,3.1
514,hervey bay,-25.3,13.89,40,93,152.85,AU,1562611541,2.1
515,olga,34.11,21.67,90,60,-118.17,US,1562611542,2.98
516,kijang,35.24,21.0,75,73,129.21,KR,1562611542,3.1
517,the valley,18.22,31.0,40,74,-63.06,AI,1562611542,6.7
518,saint-augustin,45.63,27.78,40,38,-73.98,CA,1562611542,4.1
519,sharjah,25.36,35.0,0,75,55.39,AE,1562611543,3.1
520,tabou,4.42,23.18,100,87,-7.36,CI,1562611335,3.11
521,gondanglegi,-7.75,19.78,45,93,112.01,ID,1562611543,3.04
522,eagle,43.7,24.0,1,43,-116.35,US,1562611543,3.21
523,tautira,-17.73,26.0,20,74,-149.15,PF,1562611095,1.5
524,port lincoln,-34.72,14.98,0,78,135.86,AU,1562611307,5.68
525,ayagoz,47.96,19.08,31,56,80.43,KZ,1562611338,4.7
526,shelburne,44.08,27.0,20,36,-80.2,CA,1562611544,3.1
527,northam,-31.65,12.0,90,93,116.67,AU,1562611330,1.02
528,chichester,50.84,20.56,0,59,-0.78,GB,1562611544,3.1
529,misratah,32.38,28.68,0,59,15.09,LY,1562611545,3.17
530,namibe,-15.19,20.28,0,85,12.15,AO,1562611322,1.79
531,shingu,33.72,17.48,100,98,135.99,JP,1562611545,1.8
532,blyznyuky,48.86,17.08,100,96,36.56,UA,1562611545,2.68
533,sawakin,19.1,31.28,15,29,37.33,SD,1562611546,1.65
534,churapcha,62.0,15.88,55,73,132.43,RU,1562611546,3.22
